table_name,column_name,data_type,ordinal_position
cln_actionkit__core_letteraction,data_owner_code,STRING,8
cln_actionkit__core_list,_dbt_source_relation,STRING,1
cln_actionkit__core_list,id,INT64,2
cln_actionkit__core_list,utc_created_at,TIMESTAMP,3
cln_actionkit__core_list,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_list,name,STRING,5
cln_actionkit__core_list,notes,STRING,6
cln_actionkit__core_list,hidden,BOOL,7
cln_actionkit__core_list,is_default,BOOL,8
cln_actionkit__core_list,source_schema,STRING,9
cln_actionkit__core_list,source_table,STRING,10
cln_actionkit__core_list,vendor,STRING,11
cln_actionkit__core_list,vendor_unique_list_id,STRING,12
cln_actionkit__core_list,data_owner_id,INT64,13
cln_actionkit__core_list,data_owner_code,STRING,14
cln_actionkit__core_location,_dbt_source_relation,STRING,1
cln_actionkit__core_location,utc_created_at,TIMESTAMP,2
cln_actionkit__core_location,utc_updated_at,TIMESTAMP,3
cln_actionkit__core_location,user_id,INT64,4
cln_actionkit__core_location,us_district,STRING,5
cln_actionkit__core_location,us_state_senate,STRING,6
cln_actionkit__core_location,us_state_district,STRING,7
cln_actionkit__core_location,us_county,STRING,8
cln_actionkit__core_location,loc_code,STRING,9
cln_actionkit__core_location,longitude,FLOAT64,10
cln_actionkit__core_location,latitude,FLOAT64,11
cln_actionkit__core_location,country_code,STRING,12
cln_actionkit__core_location,region_code,STRING,13
cln_actionkit__core_location,lat_lon_precision,STRING,14
cln_actionkit__core_location,timezone,STRING,15
cln_actionkit__core_location,source_schema,STRING,16
cln_actionkit__core_location,source_table,STRING,17
cln_actionkit__core_location,vendor,STRING,18
cln_actionkit__core_location,vendor_unique_location_id,STRING,19
cln_actionkit__core_location,data_owner_id,INT64,20
cln_actionkit__core_location,data_owner_code,STRING,21
cln_actionkit__core_lteaction,_dbt_source_relation,STRING,1
cln_actionkit__core_lteaction,action_ptr_id,INT64,2
cln_actionkit__core_lteaction,subject,STRING,3
cln_actionkit__core_lteaction,letter_text,STRING,4
cln_actionkit__core_lteaction,target_id,INT64,5
cln_actionkit__core_lteaction,source_schema,STRING,6
cln_actionkit__core_lteaction,source_table,STRING,7
cln_actionkit__core_lteaction,vendor,STRING,8
cln_actionkit__core_lteaction,vendor_unique_core_lteaction_id,STRING,9
cln_actionkit__core_lteaction,data_owner_id,INT64,10
cln_actionkit__core_lteaction,data_owner_code,STRING,11
cln_actionkit__core_ltepage,_dbt_source_relation,STRING,1
cln_actionkit__core_ltepage,page_ptr_id,INT64,2
cln_actionkit__core_ltepage,national_newspapers,BOOL,3
cln_actionkit__core_ltepage,regional_newspapers,BOOL,4
cln_actionkit__core_ltepage,local_newspapers,BOOL,5
cln_actionkit__core_ltepage,show_phones,BOOL,6
cln_actionkit__core_ltepage,signature_template_id,INT64,7
cln_actionkit__core_ltepage,source_schema,STRING,8
cln_actionkit__core_ltepage,source_table,STRING,9
cln_actionkit__core_ltepage,vendor,STRING,10
cln_actionkit__core_ltepage,vendor_unique_core_ltepage_id,STRING,11
cln_actionkit__core_ltepage,data_owner_id,INT64,12
cln_actionkit__core_ltepage,data_owner_code,STRING,13
cln_actionkit__core_mailing,_dbt_source_relation,STRING,1
cln_actionkit__core_mailing,id,INT64,2
cln_actionkit__core_mailing,utc_created_at,TIMESTAMP,3
cln_actionkit__core_mailing,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_mailing,hidden,BOOL,5
cln_actionkit__core_mailing,fromline_id,INT64,6
cln_actionkit__core_mailing,custom_fromline,STRING,7
cln_actionkit__core_mailing,reply_to,STRING,8
cln_actionkit__core_mailing,notes,STRING,9
cln_actionkit__core_mailing,html,STRING,10
cln_actionkit__core_mailing,text,STRING,11
cln_actionkit__core_mailing,lang_id,INT64,12
cln_actionkit__core_mailing,emailwrapper_id,INT64,13
cln_actionkit__core_mailing,web_viewable,BOOL,14
cln_actionkit__core_mailing,landing_page_id,INT64,15
cln_actionkit__core_mailing,target_group_from_landing_page,BOOL,16
cln_actionkit__core_mailing,winning_subject_id,INT64,17
cln_actionkit__core_mailing,requested_proofs,INT64,18
cln_actionkit__core_mailing,requested_proof_date,DATETIME,19
cln_actionkit__core_mailing,submitter_id,INT64,20
cln_actionkit__core_mailing,scheduled_for,DATETIME,21
cln_actionkit__core_mailing,scheduled_by_id,INT64,22
cln_actionkit__core_mailing,recurring_schedule_id,INT64,23
cln_actionkit__core_mailing,recurring_source_mailing_id,INT64,24
cln_actionkit__core_mailing,rebuild_query_at_send,BOOL,25
cln_actionkit__core_mailing,queue_task_id,STRING,26
cln_actionkit__core_mailing,queued_at,DATETIME,27
cln_actionkit__core_mailing,queued_by_id,INT64,28
cln_actionkit__core_mailing,expected_send_count,INT64,29
cln_actionkit__core_mailing,started_at,DATETIME,30
cln_actionkit__core_mailing,finished_at,DATETIME,31
cln_actionkit__core_mailing,query_queued_at,DATETIME,32
cln_actionkit__core_mailing,query_started_at,DATETIME,33
cln_actionkit__core_mailing,query_completed_at,DATETIME,34
cln_actionkit__core_mailing,query_previous_runtime,INT64,35
cln_actionkit__core_mailing,query_status,STRING,36
cln_actionkit__core_mailing,query_task_id,STRING,37
cln_actionkit__core_mailing,targeting_version,INT64,38
cln_actionkit__core_mailing,targeting_version_saved,INT64,39
cln_actionkit__core_mailing,rate,FLOAT64,40
cln_actionkit__core_mailing,progress,INT64,41
cln_actionkit__core_mailing,status,STRING,42
cln_actionkit__core_mailing,includes_id,INT64,43
cln_actionkit__core_mailing,excludes_id,INT64,44
cln_actionkit__core_mailing,limit,INT64,45
cln_actionkit__core_mailing,limit_percent,INT64,46
cln_actionkit__core_mailing,sort_by,STRING,47
